,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
56,CeeDee Lamb ,DAL,WR,21,11,9,0,0,0,0,0,7,45,6.43,0,81,53,650,12.26,4,2,1,4,1,0,94,146.5,150.5,120.0,8,23,57,2020
57,Curtis Samuel ,CAR,WR,24,11,5,0,0,0,0,0,27,117,4.33,2,63,54,517,9.57,3,0,0,5,0,0,93,147.4,153.4,120.4,8,24,58,2020
58,Hunter Henry ,LAC,TE,26,11,11,0,0,0,0,0,0,0,0,0,76,48,502,10.46,3,0,0,3,0,0,68,116.2,119.2,92.2,7,8,59,2020
59,D'Andre Swift ,DET,RB,21,9,1,0,0,0,0,0,70,331,4.73,4,39,31,275,8.87,2,1,0,6,0,0,97,127.6,133.6,112.1,7,19,60,2020
60,Jonathan Taylor,IND,RB,21,10,8,0,0,0,0,0,135,518,3.84,4,27,26,227,8.73,0,1,1,4,0,0,97,122.5,129.5,109.5,7,20,61,2020
61,Lamar Jackson,BAL,QB,23,10,10,175,276,1948,15,6,103,575,5.58,3,0,0,0,0,0,6,3,3,0,1,197,197.4,212.4,203.4,6,10,62,2020
62,Nyheim Hines,IND,RB,24,11,2,0,0,0,0,0,61,208,3.41,2,55,44,362,8.23,4,0,0,6,1,0,95,139.0,145.0,117.0,6,21,63,2020
63,Darrell Henderson,LAR,RB,23,11,9,0,0,0,0,0,120,510,4.25,4,20,13,129,9.92,1,0,0,5,0,0,94,106.9,112.9,100.4,4,22,64,2020
64,Brandin Cooks,HOU,WR,27,11,11,0,0,0,0,0,0,0,0,0,78,52,719,13.83,3,0,0,3,0,0,90,141.9,144.9,115.9,4,25,65,2020
65,Cooper Kupp,LAR,WR,27,11,10,0,0,0,0,0,4,33,8.25,0,96,66,763,11.56,2,1,1,2,0,0,90,155.6,159.6,122.6,4,26,66,2020
66,Cole Beasley,BUF,WR,31,11,7,1,1,20,1,0,0,0,0,0,71,57,667,11.70,3,0,0,3,0,0,90,146.5,149.5,118.0,4,27,67,2020
67,Latavius Murray,NOR,RB,30,11,6,0,0,0,0,0,121,551,4.55,4,17,15,132,8.80,0,1,0,4,0,0,92,107.3,113.3,99.8,3,23,68,2020
68,Hayden Hurst,ATL,TE,27,11,8,0,0,0,0,0,0,0,0,0,64,41,459,11.20,3,0,0,3,0,0,64,104.9,107.9,84.4,3,9,69,2020
69,DeVante Parker,MIA,WR,27,11,8,0,0,0,0,0,0,0,0,0,79,52,642,12.35,4,1,0,4,0,0,88,140.2,143.2,114.2,3,28,70,2020
