,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
179,Phillip Lindsay,DEN,RB,26,8,6,0,0,0,0,0,82,414,5.05,1,8,2,14,7.00,0,0,0,1,0,0,49,50.8,53.8,49.8,0,52,0,2020
180,Anthony Miller,CHI,WR,26,11,3,0,0,0,0,0,1,9,9.00,0,63,37,377,10.19,2,2,1,2,0,0,49,85.6,89.6,67.1,0,72,0,2020
181,Tony Pollard,DAL,RB,23,11,1,0,0,0,0,0,56,278,4.96,2,21,15,88,5.87,0,0,0,2,0,0,49,63.6,66.6,56.1,0,53,0,2020
182,Tua Tagovailoa ,MIA,QB,22,5,4,60,97,602,6,0,15,34,2.27,0,0,0,0,0,0,1,1,0,0,0,49,49.5,53.5,49.5,0,37,0,2020
183,Greg Ward,PHI,WR,25,10,7,0,0,0,0,0,2,-4,-2.00,0,55,40,291,7.28,3,2,0,3,1,0,49,88.7,91.7,68.7,0,71,0,2020
184,Kendrick Bourne,SFO,WR,25,10,4,0,0,0,0,0,0,0,0,0,50,32,412,12.88,1,0,0,1,0,0,47,79.2,82.2,63.2,0,74,0,2020
185,Andy Dalton,DAL,QB,33,6,4,99,152,870,5,5,12,42,3.50,0,1,1,-3,-3.00,0,2,1,0,0,0,47,47.7,56.7,52.2,0,38,0,2020
186,Brian Hill,ATL,RB,25,11,1,0,0,0,0,0,73,316,4.33,1,21,16,111,6.94,0,1,1,1,0,0,47,62.7,69.7,54.7,0,57,0,2020
187,T.Y. Hilton,IND,WR,31,10,10,0,0,0,0,0,0,0,0,0,55,33,408,12.36,1,0,0,1,0,0,47,79.8,82.8,63.3,0,75,0,2020
188,Duke Johnson,HOU,RB,27,9,3,0,0,0,0,0,67,201,3.00,1,27,20,172,8.60,1,2,1,2,0,0,47,67.3,74.3,57.3,0,55,0,2020
189,Laviska Shenault Jr.,JAX,WR,22,9,8,0,0,0,0,0,12,60,5.00,0,43,33,354,10.73,1,0,0,1,0,0,47,80.4,83.4,63.9,0,73,0,2020
190,James White ,NWE,RB,28,9,0,0,0,0,0,0,26,88,3.38,2,42,34,266,7.82,0,1,0,2,0,0,47,81.4,84.4,64.4,0,54,0,2020
191,Jordan Wilkins,IND,RB,26,11,0,0,0,0,0,0,78,293,3.76,1,12,9,95,10.56,0,0,0,1,1,0,47,55.8,58.8,51.3,0,56,0,2020
192,Darren Fells,HOU,TE,34,11,11,0,0,0,0,0,0,0,0,0,24,19,275,14.47,3,0,0,3,0,0,46,64.5,67.5,55.0,0,21,0,2020
193,Kenny Golladay,DET,WR,27,5,5,0,0,0,0,0,0,0,0,0,32,20,338,16.90,2,0,0,2,0,0,46,65.8,68.8,55.8,0,76,0,2020
194,Alexander Mattison,MIN,RB,22,11,1,0,0,0,0,0,74,338,4.57,1,11,9,61,6.78,0,0,0,1,0,0,46,54.9,57.9,50.4,0,58,0,2020
195,Kyle Allen,WAS,QB,24,4,4,60,87,610,4,1,7,26,3.71,1,0,0,0,0,0,1,1,1,0,0,45,45.0,50.0,46.0,0,39,0,2020
196,Sterling Shepard,NYG,WR,27,7,7,0,0,0,0,0,3,28,9.33,0,50,41,359,8.76,1,0,0,1,0,0,45,85.7,88.7,65.2,0,77,0,2020
197,Alex Smith,WAS,QB,36,5,3,107,155,1067,3,5,9,3,0.33,0,0,0,0,0,0,1,0,0,0,0,45,45.0,53.0,50.0,0,40,0,2020
198,Cam Akers ,LAR,RB,21,9,2,0,0,0,0,0,59,285,4.83,1,3,3,27,9.00,1,0,0,2,0,0,43,46.2,49.2,44.7,0,60,0,2020
199,Mo Alie-Cox,IND,TE,27,10,3,0,0,0,0,0,0,0,0,0,30,24,328,13.67,2,1,1,2,0,0,43,66.8,70.8,54.8,0,22,0,2020
200,Rashard Higgins,CLE,WR,26,9,2,0,0,0,0,0,0,0,0,0,25,19,305,16.05,2,0,0,2,0,0,43,61.5,64.5,52.0,0,79,0,2020
201,Carlos Hyde,SEA,RB,30,5,1,0,0,0,0,0,45,204,4.53,3,10,8,50,6.25,0,0,0,3,0,0,43,51.4,54.4,47.4,0,59,0,2020
202,Kerryon Johnson,DET,RB,23,11,2,0,0,0,0,0,47,175,3.72,1,19,14,152,10.86,1,1,1,2,0,0,43,56.7,63.7,49.7,0,61,0,2020
203,Golden Tate,NYG,WR,32,9,3,1,2,18,0,0,0,0,0,0,43,28,306,10.93,2,0,0,2,0,0,43,71.3,74.3,57.3,0,78,0,2020
204,A.J. Green,CIN,WR,32,11,10,0,0,0,0,0,0,0,0,0,80,35,357,10.20,1,0,0,1,0,0,42,76.7,79.7,59.2,0,81,0,2020
205,James Washington,PIT,WR,24,10,4,0,0,0,0,0,0,0,0,0,35,21,244,11.62,3,0,0,3,0,0,42,63.4,66.4,52.9,0,80,0,2020
206,Danny Amendola,DET,WR,35,9,3,0,0,0,0,0,1,2,2.00,0,44,28,411,14.68,0,0,0,0,0,0,41,69.3,72.3,55.3,0,83,0,2020
207,Marvin Hall,DET,WR,27,11,5,0,0,0,0,0,1,1,1.00,0,30,17,290,17.06,2,0,0,2,0,0,41,58.1,61.1,49.6,0,84,0,2020
208,Michael Pittman Jr.,IND,WR,23,8,5,0,0,0,0,0,1,21,21.00,0,40,26,330,12.69,1,0,0,1,0,0,41,67.1,70.1,54.1,0,85,0,2020
209,Henry Ruggs III,LVR,WR,21,9,9,0,0,0,0,0,7,42,6.00,0,31,17,312,18.35,1,0,0,1,0,0,41,58.4,61.4,49.9,0,82,0,2020
210,Kalen Ballage,2TM,RB,25,6,2,0,0,0,0,0,52,194,3.73,1,28,23,143,6.22,0,0,0,1,0,0,40,62.7,68.7,51.2,0,63,0,2020
211,Gerald Everett,LAR,TE,26,11,3,0,0,0,0,0,1,2,2.00,1,37,28,298,10.64,1,1,1,2,0,0,40,68.0,72.0,54.0,0,23,0,2020
212,Jakeem Grant,MIA,WR,28,11,2,0,0,0,0,0,3,20,6.67,0,37,26,256,9.85,1,1,0,2,0,0,40,65.6,68.6,52.6,0,87,0,2020
213,Mark Ingram,BAL,RB,31,8,7,0,0,0,0,0,57,232,4.07,2,7,5,49,9.80,0,0,0,2,0,0,40,45.1,48.1,42.6,0,62,0,2020
214,Demarcus Robinson,KAN,WR,26,11,7,0,0,0,0,0,0,0,0,0,44,32,300,9.38,2,1,1,2,0,0,40,72.0,76.0,56.0,0,86,0,2020
215,Chris Conley,JAX,WR,28,10,2,0,0,0,0,0,0,0,0,0,46,27,332,12.30,1,0,0,1,0,0,39,66.2,69.2,52.7,0,88,0,2020
216,Deebo Samuel,SFO,WR,24,5,4,0,0,0,0,0,6,14,2.33,0,35,27,318,11.78,1,0,0,1,0,0,39,66.2,69.2,52.7,0,89,0,2020
217,DeeJay Dallas,SEA,RB,22,8,2,0,0,0,0,0,30,101,3.37,2,17,15,100,6.67,1,0,0,3,0,0,38,53.1,59.1,45.6,0,64,0,2020
218,Dallas Goedert,PHI,TE,25,6,4,0,0,0,0,0,0,0,0,0,31,23,263,11.43,2,0,0,2,0,0,38,61.3,64.3,49.8,0,24,0,2020
219,Austin Hooper,CLE,TE,26,9,9,0,0,0,0,0,0,0,0,0,42,28,262,9.36,2,0,0,2,0,0,38,66.2,69.2,52.2,0,25,0,2020
220,La'Mical Perine ,NYJ,RB,22,9,0,0,0,0,0,0,55,202,3.67,2,13,10,49,4.90,0,0,0,2,0,0,37,47.1,50.1,42.1,0,65,0,2020
221,Kyle Rudolph ,MIN,TE,31,11,11,0,0,0,0,0,0,0,0,0,35,28,334,11.93,1,1,1,1,0,0,37,65.4,69.4,51.4,0,26,0,2020
222,Braxton Berrios,NYJ,WR,25,11,2,0,0,0,0,0,1,13,13.00,0,39,24,223,9.29,2,0,0,2,0,0,36,59.6,62.6,47.6,0,92,0,2020
223,KJ Hamler ,DEN,WR,21,9,3,0,0,0,0,0,6,24,4.00,0,44,25,275,11.00,1,2,0,1,0,0,36,60.9,63.9,48.4,0,91,0,2020
224,Benny Snell Jr.,PIT,RB,22,10,0,0,0,0,0,0,57,195,3.42,3,3,2,0,0.00,0,2,1,3,0,0,36,37.5,41.5,36.5,0,66,0,2020
225,Sammy Watkins,KAN,WR,27,6,5,0,0,0,0,0,1,3,3.00,0,36,25,260,10.40,2,1,1,2,0,0,36,61.3,65.3,48.8,0,90,0,2020
226,Julian Edelman,NWE,WR,34,6,1,2,2,38,0,0,2,22,11.00,0,39,21,315,15.00,0,0,0,0,0,0,35,56.2,59.2,45.7,0,93,0,2020
227,Richard Rodgers ,PHI,TE,28,10,3,0,0,0,0,0,0,0,0,0,25,21,292,13.90,1,0,0,1,0,0,35,56.2,59.2,45.7,0,27,0,2020
228,Jordan Akins,HOU,TE,28,8,3,0,0,0,0,0,1,4,4.00,0,28,22,275,12.50,1,0,0,1,0,0,34,55.9,58.9,44.9,0,29,0,2020
229,Anthony Firkser,TEN,TE,25,11,1,0,0,0,0,0,0,0,0,0,40,29,282,9.72,1,0,0,1,0,0,34,63.2,66.2,48.7,0,28,0,2020
230,Larry Fitzgerald,ARI,WR,37,10,10,0,0,0,0,0,0,0,0,0,57,43,336,7.81,0,0,0,0,0,0,34,76.6,79.6,55.1,0,96,0,2020
231,Adam Humphries,TEN,WR,27,6,1,0,0,0,0,0,0,0,0,0,31,22,219,9.95,2,0,0,2,0,0,34,55.9,58.9,44.9,0,94,0,2020
232,Cedrick Wilson Jr.,DAL,WR,25,11,0,1,1,11,1,0,3,-12,-4.00,0,27,16,186,11.63,2,0,0,2,0,0,34,49.8,52.8,41.8,0,95,0,2020
233,Andy Isabella,ARI,WR,24,11,1,0,0,0,0,0,1,-6,-6.00,0,30,19,217,11.42,2,1,0,2,0,0,33,52.1,55.1,42.6,0,98,0,2020
234,Olamide Zaccheaus,ATL,WR,23,11,2,0,0,0,0,0,1,0,0.00,0,32,20,274,13.70,1,0,0,1,0,0,33,53.4,56.4,43.4,0,97,0,2020
235,Le'Veon Bell,2TM,RB,28,7,2,0,0,0,0,0,47,175,3.72,1,10,10,86,8.60,0,1,0,1,0,0,32,42.1,45.1,37.1,0,67,0,2020
236,Tyler Eifert,JAX,TE,30,10,2,0,0,0,0,0,0,0,0,0,41,22,204,9.27,2,0,0,2,0,0,32,54.4,57.4,43.4,0,30,0,2020
237,Justin Jackson ,LAC,RB,24,6,4,0,0,0,0,0,45,185,4.11,0,19,15,131,8.73,0,0,0,0,0,0,32,46.6,52.6,39.1,0,68,0,2020
238,Irv Smith Jr.,MIN,TE,22,9,4,0,0,0,0,0,0,0,0,0,23,15,182,12.13,2,0,0,2,1,0,32,47.2,50.2,39.7,0,31,0,2020
239,Kyle Juszczyk,SFO,RB,29,11,10,0,0,0,0,0,10,49,4.90,2,18,12,142,11.83,0,1,0,2,0,0,31,43.1,46.1,37.1,0,69,0,2020
240,Isaiah McKenzie,BUF,WR,25,11,4,1,1,12,1,0,6,4,0.67,0,17,16,140,8.75,2,0,0,2,0,0,31,46.9,49.9,38.9,0,100,0,2020
241,Cordarrelle Patterson,CHI,WR,29,11,3,0,0,0,0,0,43,126,2.93,0,21,19,124,6.53,0,0,0,1,0,0,31,50.0,56.0,40.5,0,99,0,2020
242,Cam Sims,WAS,WR,24,11,5,0,0,0,0,0,0,0,0,0,15,13,245,18.85,1,0,0,1,0,0,31,43.5,46.5,37.0,0,101,0,2020
243,Peyton Barber,WAS,RB,26,11,2,0,0,0,0,0,59,173,2.93,2,3,2,11,5.50,0,0,0,2,0,0,30,32.4,35.4,31.4,0,70,0,2020
244,Cameron Brate,TAM,TE,29,12,1,0,0,0,0,0,0,0,0,0,25,20,181,9.05,2,0,0,2,0,0,30,50.1,53.1,40.1,0,33,0,2020
245,Harrison Bryant,CLE,TE,22,11,7,0,0,0,0,0,0,0,0,0,23,16,164,10.25,3,2,2,3,0,0,30,46.4,51.4,38.4,0,32,0,2020
246,Jeff Driskel,DEN,QB,27,3,1,35,64,432,3,2,6,28,4.67,0,0,0,0,0,0,0,0,0,0,1,30,30.1,35.1,32.1,0,41,0,2020
247,Tyron Johnson,LAC,WR,24,7,0,0,0,0,0,0,3,17,5.67,0,8,5,220,44.00,1,0,0,1,0,0,30,34.7,37.7,32.2,0,103,0,2020
248,Tyler Kroft,BUF,TE,28,9,4,0,0,0,0,0,0,0,0,0,16,12,119,9.92,3,0,0,3,0,0,30,41.9,44.9,35.9,0,34,0,2020
249,Jalen Reagor ,PHI,WR,21,5,5,0,0,0,0,0,1,6,6.00,0,26,16,211,13.19,1,1,0,1,1,0,30,45.7,48.7,37.7,0,102,0,2020
250,Dan Arnold,ARI,TE,25,11,4,0,0,0,0,0,0,0,0,0,25,18,225,12.50,1,1,0,1,0,0,29,46.5,49.5,37.5,0,36,0,2020
251,Devonta Freeman ,NYG,RB,28,5,4,0,0,0,0,0,54,172,3.19,1,10,7,58,8.29,0,0,0,1,0,0,29,36.0,39.0,32.5,0,71,0,2020
252,DaeSean Hamilton,DEN,WR,25,11,2,0,0,0,0,0,0,0,0,0,28,15,185,12.33,2,1,1,2,0,0,29,43.5,47.5,36.0,0,105,0,2020
253,Collin Johnson,JAX,WR,23,11,0,0,0,0,0,0,0,0,0,0,21,11,165,15.00,2,0,0,2,0,0,29,39.5,42.5,34.0,0,104,0,2020
254,Jordan Reed,SFO,TE,30,6,0,0,0,0,0,0,0,0,0,0,30,19,168,8.84,2,0,0,2,0,0,29,47.8,50.8,38.3,0,35,0,2020
255,Devin Duvernay ,BAL,WR,23,10,0,0,0,0,0,0,2,41,20.50,0,20,15,179,11.93,0,0,0,1,0,0,28,43.0,46.0,35.5,0,108,0,2020
256,Deonte Harris,NOR,WR,23,9,2,0,0,0,0,0,6,51,8.50,0,25,20,186,9.30,1,3,1,1,0,0,28,47.7,51.7,37.7,0,110,0,2020
257,Dontrelle Inman,WAS,WR,31,8,2,0,0,0,0,0,0,0,0,0,28,18,163,9.06,2,1,0,2,0,0,28,46.3,49.3,37.3,0,107,0,2020
258,Richie James,SFO,WR,25,6,3,0,0,0,0,0,0,0,0,0,19,13,239,18.38,1,1,1,1,0,0,28,40.9,44.9,34.4,0,109,0,2020
259,Dion Lewis,NYG,RB,30,11,0,0,0,0,0,0,21,69,3.29,1,27,17,113,6.65,1,1,1,2,0,0,28,45.2,49.2,36.7,0,72,0,2020
260,Jake Luton,JAX,QB,24,3,3,60,110,624,2,6,1,13,13.00,1,0,0,0,0,0,2,0,1,0,0,28,28.3,37.3,34.3,0,42,0,2020
261,Denzel Mims ,NYJ,WR,23,5,5,0,0,0,0,0,0,0,0,0,33,17,284,16.71,0,0,0,0,0,0,28,45.4,48.4,36.9,0,106,0,2020
262,Greg Olsen,SEA,TE,35,10,8,0,0,0,0,0,0,0,0,0,35,23,224,9.74,1,0,0,1,0,0,28,51.4,54.4,39.9,0,37,0,2020
263,Jack Doyle,IND,TE,30,9,8,0,0,0,0,0,0,0,0,0,18,10,114,11.40,3,1,1,3,0,0,27,37.4,41.4,32.4,0,38,0,2020
264,Jordan Howard,MIA,RB,26,5,3,0,0,0,0,0,28,33,1.18,4,1,1,-3,-3.00,0,1,0,4,0,0,27,28.0,28.0,27.5,0,73,0,2020
265,O.J. Howard ,TAM,TE,26,4,1,0,0,0,0,0,0,0,0,0,19,11,146,13.27,2,0,0,2,0,0,27,37.6,40.6,32.1,0,39,0,2020
266,Salvon Ahmed,MIA,RB,22,3,2,0,0,0,0,0,40,166,4.15,1,7,6,36,6.00,0,0,0,1,0,0,26,32.2,35.2,29.2,0,74,0,2020
267,Zach Ertz,PHI,TE,30,6,6,0,0,0,0,0,0,0,0,0,45,24,178,7.42,1,0,0,1,1,0,26,49.8,52.8,37.8,0,41,0,2020
268,Marcus Johnson,IND,WR,26,8,3,0,0,0,0,0,0,0,0,0,27,14,255,18.21,0,0,0,0,0,0,26,39.5,42.5,32.5,0,111,0,2020
269,Sony Michel,NWE,RB,25,4,3,0,0,0,0,0,26,173,6.65,1,3,2,23,11.50,0,0,0,1,0,0,26,27.6,30.6,26.6,0,75,0,2020
270,Adam Shaheen,MIA,TE,26,11,3,0,0,0,0,0,0,0,0,0,12,7,84,12.00,3,0,0,3,0,0,26,33.4,33.4,29.9,0,40,0,2020
271,N'Keal Harry ,NWE,WR,23,9,7,0,0,0,0,0,2,0,0.00,0,43,24,213,8.88,1,1,1,1,0,0,25,49.3,53.3,37.3,0,112,0,2020
272,Michael Thomas,NOR,WR,27,5,5,0,0,0,0,0,1,1,1.00,0,36,23,249,10.83,0,0,0,0,0,0,25,48.0,51.0,36.5,0,113,0,2020
273,Matt Breida,MIA,RB,25,9,1,0,0,0,0,0,47,168,3.57,0,10,9,96,10.67,0,2,1,0,0,0,24,33.4,37.4,28.9,0,76,0,2020
274,Jamycal Hasty,SFO,RB,24,8,0,0,0,0,0,0,39,148,3.79,1,8,7,33,4.71,0,1,0,1,0,0,24,31.1,34.1,27.6,0,78,0,2020
275,Travis Homer,SEA,RB,22,9,0,0,0,0,0,0,25,88,3.52,0,10,9,90,10.00,1,0,0,1,0,0,24,32.8,32.8,28.3,0,79,0,2020
276,Tyler Johnson,TAM,WR,22,10,3,0,0,0,0,0,0,0,0,0,14,10,118,11.80,2,0,0,2,0,0,24,33.8,36.8,28.8,0,114,0,2020
277,Marcedes Lewis,GNB,TE,36,10,10,0,0,0,0,0,0,0,0,0,14,7,56,8.00,3,0,0,3,0,0,24,30.6,30.6,27.1,0,42,0,2020
278,Darrel Williams,KAN,RB,25,11,0,0,0,0,0,0,20,80,4.00,1,17,12,82,6.83,0,0,0,1,1,0,24,36.2,36.2,30.2,0,77,0,2020
279,Nick Boyle,BAL,TE,27,9,9,0,0,0,0,0,0,0,0,0,17,14,113,8.07,2,0,0,2,0,0,23,37.3,40.3,30.3,0,43,0,2020
280,Jalen Richard,LVR,RB,27,9,0,0,0,0,0,0,14,83,5.93,1,15,12,90,7.50,0,0,0,1,0,0,23,35.3,35.3,29.3,0,80,0,2020
281,Drew Sample,CIN,TE,24,11,8,0,0,0,0,0,0,0,0,0,37,26,252,9.69,0,1,1,0,0,0,23,49.2,53.2,36.2,0,44,0,2020
282,Chris Thompson,JAX,RB,30,8,0,0,0,0,0,0,7,20,2.86,0,23,20,146,7.30,1,0,0,1,0,0,23,42.6,45.6,32.6,0,81,0,2020
283,Will Dissly,SEA,TE,24,10,6,0,0,0,0,0,0,0,0,0,17,14,163,11.64,1,0,0,1,0,0,22,36.3,39.3,29.3,0,46,0,2020
284,Jeremy McNichols ,TEN,RB,25,11,0,0,0,0,0,0,34,193,5.68,0,10,6,29,4.83,0,0,0,0,0,0,22,28.2,31.2,25.2,0,83,0,2020
285,David Njoku ,CLE,TE,24,8,3,0,0,0,0,0,0,0,0,0,14,8,102,12.75,2,0,0,2,0,0,22,30.2,33.2,26.2,0,47,0,2020
286,Ito Smith,ATL,RB,25,9,0,0,0,0,0,0,25,111,4.44,1,15,11,53,4.82,0,0,0,1,0,0,22,33.4,36.4,27.9,0,82,0,2020
287,Durham Smythe,MIA,TE,25,10,8,0,0,0,0,0,0,0,0,0,14,12,104,8.67,2,0,0,2,0,0,22,34.4,37.4,28.4,0,45,0,2020
288,Miles Boykin,BAL,WR,24,10,7,0,0,0,0,0,0,0,0,0,23,14,153,10.93,1,0,0,1,0,0,21,35.3,38.3,28.3,0,116,0,2020
289,Ross Dwelley,SFO,TE,25,11,6,0,0,0,0,0,0,0,0,0,16,11,147,13.36,1,0,0,1,0,0,21,31.7,34.7,26.2,0,48,0,2020
290,Steven Sims,WAS,WR,23,7,2,0,0,0,0,0,0,0,0,0,19,16,174,10.88,1,3,1,1,0,0,21,37.4,41.4,29.4,0,115,0,2020
291,Jacoby Brissett,IND,QB,28,6,0,2,7,17,0,0,9,14,1.56,3,0,0,0,0,0,0,0,3,0,0,20,20.1,20.1,20.1,0,43,0,2020
292,Royce Freeman,DEN,RB,24,11,0,0,0,0,0,0,30,129,4.30,0,10,9,73,8.11,0,0,0,0,0,0,20,29.2,32.2,24.7,0,84,0,2020
293,Jacob Hollister,SEA,TE,27,10,1,0,0,0,0,0,0,0,0,0,19,14,118,8.43,1,0,0,1,1,0,20,33.8,36.8,26.8,0,49,0,2020
294,Van Jefferson ,LAR,WR,24,11,0,0,0,0,0,0,1,-1,-1.00,0,16,11,143,13.00,1,1,0,1,0,0,20,31.2,34.2,25.7,0,118,0,2020
295,Olabisi Johnson,MIN,WR,23,11,3,0,0,0,0,0,0,0,0,0,18,13,176,13.54,0,0,0,0,1,0,20,32.6,35.6,26.1,0,119,0,2020
296,Kenny Stills,HOU,WR,28,10,0,0,0,0,0,0,0,0,0,0,19,11,144,13.09,1,0,0,1,0,0,20,31.4,34.4,25.9,0,117,0,2020
297,John Hightower,PHI,WR,24,10,4,0,0,0,0,0,0,0,0,0,24,9,166,18.44,0,0,0,0,1,0,19,27.6,30.6,23.1,0,121,0,2020
298,Freddie Swain,SEA,WR,22,10,1,0,0,0,0,0,0,0,0,0,15,10,134,13.40,1,0,0,1,0,0,19,29.4,32.4,24.4,0,120,0,2020
299,Isaiah Ford,MIA,WR,24,7,0,0,0,0,0,0,0,0,0,0,29,18,184,10.22,0,0,0,0,0,0,18,36.4,39.4,27.4,0,122,0,2020
300,Mike Glennon,JAX,QB,31,1,1,20,35,235,2,0,2,6,3.00,0,0,0,0,0,0,0,0,0,0,0,18,18.0,18.0,18.0,0,44,0,2020
301,Albert Okwuegbunam ,DEN,TE,22,4,0,0,0,0,0,0,0,0,0,0,15,11,121,11.00,1,0,0,1,0,0,18,29.1,32.1,23.6,0,50,0,2020
302,Samaje Perine,CIN,RB,25,11,0,0,0,0,0,0,24,102,4.25,1,6,5,16,3.20,0,0,0,1,0,0,18,22.8,25.8,20.3,0,85,0,2020
303,Kalif Raymond,TEN,WR,26,11,3,0,0,0,0,0,1,-3,-3.00,0,13,9,187,20.78,0,0,0,0,0,0,18,27.4,30.4,22.9,0,123,0,2020
304,Jason Witten,LVR,TE,38,11,5,0,0,0,0,0,0,0,0,0,11,11,57,5.18,2,0,0,2,0,0,18,28.7,28.7,23.2,0,51,0,2020
305,Chad Beebe,MIN,WR,26,9,0,0,0,0,0,0,0,0,0,0,19,14,126,9.00,1,2,1,1,0,0,17,30.6,34.6,23.6,0,131,0,2020
306,Antonio Brown ,TAM,WR,32,4,1,0,0,0,0,0,2,-2,-1.00,0,29,20,168,8.40,0,0,0,0,0,0,17,36.6,39.6,26.6,0,130,0,2020
307,Quintez Cephus,DET,WR,22,8,1,0,0,0,0,0,0,0,0,0,21,12,174,14.50,0,0,0,0,0,0,17,29.4,32.4,23.4,0,124,0,2020
308,Alec Ingold,LVR,RB,24,11,3,0,0,0,0,0,2,2,1.00,0,14,10,108,10.80,1,0,0,1,0,0,17,27.0,30.0,22.0,0,86,0,2020
309,Ryan Izzo,NWE,TE,25,11,11,0,0,0,0,0,0,0,0,0,19,12,193,16.08,0,1,1,0,0,0,17,29.3,33.3,23.3,0,55,0,2020
310,DeSean Jackson,PHI,WR,34,4,4,0,0,0,0,0,1,12,12.00,0,25,13,155,11.92,0,0,0,0,0,0,17,29.7,32.7,23.2,0,129,0,2020
311,Jesse James,DET,TE,26,11,5,0,0,0,0,0,0,0,0,0,16,11,107,9.73,1,0,0,1,0,0,17,27.7,30.7,22.2,0,56,0,2020
312,Zay Jones ,LVR,WR,25,11,1,0,0,0,0,0,0,0,0,0,15,12,108,9.00,1,0,0,1,0,0,17,28.8,31.8,22.8,0,128,0,2020
313,James O'Shaughnessy,JAX,TE,28,10,9,0,0,0,0,0,0,0,0,0,25,18,173,9.61,0,0,0,0,0,0,17,35.3,38.3,26.3,0,54,0,2020
314,Donald Parham,LAC,TE,23,8,3,0,0,0,0,0,0,0,0,0,8,3,54,18.00,2,0,0,2,0,0,17,20.4,20.4,18.9,0,53,0,2020
315,Brandon Powell,ATL,WR,25,11,0,0,0,0,0,0,2,7,3.50,0,10,7,44,6.29,2,1,0,2,0,0,17,24.1,24.1,20.6,0,126,0,2020
316,Byron Pringle,KAN,WR,27,10,2,0,0,0,0,0,0,0,0,0,11,9,108,12.00,0,0,0,1,0,0,17,25.8,28.8,21.3,0,127,0,2020
317,Jace Sternberger,GNB,TE,24,11,0,0,0,0,0,0,0,0,0,0,15,12,114,9.50,1,0,0,1,0,0,17,29.4,32.4,23.4,0,52,0,2020
318,Mike Thomas,CIN,WR,26,9,0,0,0,0,0,0,1,1,1.00,0,19,13,132,10.15,1,1,1,1,0,0,17,30.3,34.3,23.8,0,125,0,2020
319,D'Onta Foreman,TEN,RB,24,5,0,0,0,0,0,0,22,95,4.32,0,1,1,5,5.00,1,0,0,1,0,0,16,17.0,17.0,16.5,0,87,0,2020
320,KhaDarel Hodge,CLE,WR,25,7,0,0,0,0,0,0,0,0,0,0,15,9,155,17.22,0,0,0,0,0,0,16,24.5,27.5,20.0,0,133,0,2020
321,Ian Thomas,CAR,TE,24,12,7,0,0,0,0,0,0,0,0,0,20,13,97,7.46,1,1,0,1,0,0,16,28.7,28.7,22.2,0,58,0,2020
322,Adam Trautman ,NOR,TE,23,10,3,0,0,0,0,0,0,0,0,0,9,8,100,12.50,1,0,0,1,0,0,16,24.0,27.0,20.0,0,57,0,2020
323,Isaiah Wright,WAS,WR,23,9,4,0,0,0,0,0,3,16,5.33,0,27,23,168,7.30,0,3,1,0,0,0,16,39.4,43.4,27.9,0,132,0,2020
324,Reggie Bonnafon,CAR,RB,24,2,0,0,0,0,0,0,12,69,5.75,0,2,2,18,9.00,1,0,0,1,0,0,15,16.7,16.7,15.7,0,91,0,2020
325,Corey Clement,PHI,RB,26,9,0,0,0,0,0,0,19,68,3.58,1,5,4,18,4.50,0,0,0,1,0,0,15,18.6,18.6,16.6,0,92,0,2020
326,Tyler Ervin ,GNB,RB,27,7,0,0,0,0,0,0,13,67,5.15,0,15,11,84,7.64,0,0,0,0,0,0,15,26.1,26.1,20.6,0,90,0,2020
327,Garrett Gilbert,DAL,QB,29,1,1,21,38,243,1,1,3,28,9.33,0,0,0,0,0,0,0,0,0,0,0,15,14.5,15.5,15.5,0,45,0,2020
328,Chris Herndon,NYJ,TE,24,11,9,0,0,0,0,0,0,0,0,0,27,16,133,8.31,1,2,2,1,0,0,15,31.3,36.3,23.3,0,60,0,2020
329,D'Ernest Johnson,CLE,RB,24,11,0,0,0,0,0,0,29,142,4.90,0,3,2,9,4.50,0,1,0,0,0,0,15,17.1,20.1,16.1,0,89,0,2020
330,Cole Kmet ,CHI,TE,21,11,5,0,0,0,0,0,0,0,0,0,14,8,94,11.75,1,0,0,1,0,0,15,23.4,23.4,19.4,0,59,0,2020
331,Dawson Knox,BUF,TE,24,7,5,0,0,0,0,0,0,0,0,0,17,9,111,12.33,1,1,1,1,0,0,15,24.1,28.1,19.6,0,61,0,2020
332,Jeff Smith,NYJ,WR,23,8,4,0,0,0,0,0,0,0,0,0,35,16,153,9.56,0,0,0,0,0,0,15,31.3,34.3,23.3,0,134,0,2020
333,Auden Tate,CIN,WR,23,9,2,0,0,0,0,0,0,0,0,0,22,14,150,10.71,0,0,0,0,0,0,15,29.0,32.0,22.0,0,135,0,2020
334,C.J. Uzomah,CIN,TE,27,2,2,0,0,0,0,0,0,0,0,0,11,8,87,10.88,1,0,0,1,0,0,15,22.7,22.7,18.7,0,62,0,2020
335,T.J. Yeldon,BUF,RB,27,3,0,0,0,0,0,0,10,70,7.00,0,4,1,22,22.00,1,1,0,1,0,0,15,16.2,16.2,15.7,0,88,0,2020
